-4395.5028801725275,"{aX -> 0.06688873191069916, wX -> 0.0022250669055921338, pX -> 28.040625544873283, ynX -> 0.0775345314396266, dsX -> 0.9395254486156475, dhX -> 0.10629724540378092, h0X -> 6.196498639772575*^-6, s0X -> 1.0247960906829114*^-10, rcX -> 0.009352537110650282, rnX -> 0.015085319709636467}"
-4402.322395742681,"{aX -> 0.07099451658732413, wX -> 0.0027217699333898435, pX -> 37.24511489147491, ynX -> 0.04265185861573031, dsX -> 0.5869155652920588, dhX -> 0.12302184281771722, h0X -> 6.536308458933543*^-6, s0X -> 1.0289156723328752*^-10, rcX -> 0.010063782115475331, rnX -> 0.01758650624967157}"
-4432.518237586481,"{aX -> 0.047163468238418965, wX -> 0.0029351551879013955, pX -> 15.132675939856416, ynX -> 0.08810010967318993, dsX -> 0.7131859671396521, dhX -> 0.10704711177608425, h0X -> 5.800849247759608*^-6, s0X -> 1.029080848203368*^-10, rcX -> 0.010134015641150823, rnX -> 0.0026921772618984613}"
-4440.3386436755345,"{aX -> 0.07889872305473997, wX -> 0.002811137800362154, pX -> 38.887690883977406, ynX -> 0.0589833070377968, dsX -> 0.7623084256264848, dhX -> 0.13403575062878134, h0X -> 6.90412745414796*^-6, s0X -> 1.0283588506961009*^-10, rcX -> 0.009446806759593383, rnX -> 0.020840394203455907}"
-4444.1552507193865,"{aX -> 0.08033545869839678, wX -> 0.002353150579765438, pX -> 23.387255186757194, ynX -> 0.03836809892508414, dsX -> 0.5170201706902009, dhX -> 0.13105867991015163, h0X -> 6.761432590060295*^-6, s0X -> 1.0263925623807133*^-10, rcX -> 0.010737009896829833, rnX -> 0.017147115475433794}"
-4459.345003209022,"{aX -> 0.05209267229390391, wX -> 0.00277429893771855, pX -> 16.73654209720092, ynX -> 0.11365022919739219, dsX -> 1.0497277119385455, dhX -> 0.1039178628382511, h0X -> 5.667886918609761*^-6, s0X -> 1.0308753749732197*^-10, rcX -> 0.00982410373229602, rnX -> 0.0024556017991846624}"
-4449.279191423664,"{aX -> 0.06519760601779855, wX -> 0.0024081309903428655, pX -> 23.72774224721146, ynX -> 0.055710766122420624, dsX -> 0.6078446019188813, dhX -> 0.145363672949856, h0X -> 6.60892358800808*^-6, s0X -> 1.031373780277101*^-10, rcX -> 0.009908055823412618, rnX -> 0.0027230901968775508}"
-4417.198544999606,"{aX -> 0.07704917876945798, wX -> 0.0029159533087192904, pX -> 27.70661523632247, ynX -> 0.06136520577925525, dsX -> 1.1761228013781513, dhX -> 0.12887184088055292, h0X -> 7.165888469105061*^-6, s0X -> 1.0356530996101122*^-10, rcX -> 0.010114491138003182, rnX -> 0.014389290735223489}"
-4429.893097311621,"{aX -> 0.09556531032514745, wX -> 0.0022272106768352453, pX -> 22.737491742560337, ynX -> 0.04563168343824099, dsX -> 0.5687618410997707, dhX -> 0.1287312065296145, h0X -> 6.5364506595207295*^-6, s0X -> 1.0223037103530653*^-10, rcX -> 0.009785648654870312, rnX -> 0.027237329585332266}"
-4416.619573705558,"{aX -> 0.09040844818224969, wX -> 0.0017401595366083832, pX -> 58.89903432462551, ynX -> 0.02847250222982985, dsX -> 0.6196021977044036, dhX -> 0.1375887035919896, h0X -> 6.608210140908623*^-6, s0X -> 1.0131063495705861*^-10, rcX -> 0.010324815192085644, rnX -> 0.03918507780414268}"
